Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
668598c471c4d53b1862e5b2,6664b8146408ebc8a3d7ea6e,APPROVED,Not Applicable,2024-07-03T18:30:32.548000Z,2024-07-03T19:20:58.952000Z,2024-07-09T20:13:24.351000Z,2024-07-03T19:21:43.720475Z,3027.0,CLA1QC0Z,132,31,Female,White,DATA_EXPIRED,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66859a165f71057fe75465dc,5e1b2b3e4a955b350b1e0a63,APPROVED,Not Applicable,2024-07-03T18:36:18.797000Z,2024-07-03T19:09:06.081000Z,2024-07-09T20:12:57.573000Z,2024-07-03T19:10:19.880506Z,1968.0,CLA1QC0Z,2887,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66859ba21b707393434f1d04,6346d43493a4f14e735bc630,APPROVED,Not Applicable,2024-07-03T18:43:46.541000Z,2024-07-03T19:38:18.010000Z,2024-07-09T20:12:58.618000Z,2024-07-03T19:39:56.527124Z,3272.0,CLA1QC0Z,1583,34,Male,Black,Nigeria,United Kingdom,Nigeria,English,No,Full-Time
6685a1a17e3c591c64855de7,666cad20b467bfec0cc373a9,APPROVED,Not Applicable,2024-07-03T19:08:27.972000Z,2024-07-03T19:23:20.229000Z,2024-07-09T20:13:25.033000Z,2024-07-03T19:23:21.482024Z,893.0,CLA1QC0Z,86,29,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6685a1d200fa140385fc6a7e,5f653cb18aad310a9ee7c32d,APPROVED,Not Applicable,2024-07-03T19:10:04.373000Z,2024-07-03T19:35:31.967000Z,2024-07-09T20:13:25.695000Z,2024-07-03T19:35:32.819578Z,1528.0,CLA1QC0Z,1474,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,DATA_EXPIRED
6685a3633f51acad6d5a39ab,66693008c3f1d46f57764f23,APPROVED,Not Applicable,2024-07-03T19:15:47.285000Z,2024-07-03T20:01:36.440000Z,2024-07-09T20:12:59.217000Z,2024-07-03T20:03:11.748555Z,2750.0,CLA1QC0Z,43,37,Male,Black,Nigeria,United Kingdom,Nigeria,English,No,Full-Time
6685a49b4867e23f8c061673,66622585cbd0992fc407a616,APPROVED,Not Applicable,2024-07-03T19:20:58.935000Z,2024-07-03T19:58:06.739000Z,2024-07-09T20:13:26.322000Z,2024-07-03T20:01:09.413368Z,2228.0,CLA1QC0Z,26,30,Female,Black,United Kingdom,United Kingdom,Nigeria,English,No,Full-Time
6685a49b60e968788010603f,6648e467d3461748e5d04527,APPROVED,Not Applicable,2024-07-03T19:20:58.977000Z,2024-07-03T19:56:46.889000Z,2024-07-09T20:12:59.895000Z,2024-07-03T19:56:49.351794Z,2148.0,CLA1QC0Z,86,27,Male,Black,Nigeria,United Kingdom,Nigeria,English,Yes,Full-Time
6685a8047123975c07f843b2,5f480ae988eb7429641eae29,APPROVED,Not Applicable,2024-07-03T19:35:32.322000Z,2024-07-03T20:06:42.935000Z,2024-07-09T20:13:00.486000Z,2024-07-03T20:06:43.814237Z,1871.0,CLA1QC0Z,823,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
6685a8aab841df6b2764aa43,664ef209ea868d811acb6a97,APPROVED,Not Applicable,2024-07-03T19:38:18.037000Z,2024-07-03T20:46:07.744000Z,2024-07-09T20:13:27.355000Z,2024-07-03T20:46:08.754337Z,4070.0,CLA1QC0Z,161,49,Female,Mixed,Ghana,United States,United States,English,DATA_EXPIRED,Full-Time
6685acfe0c89a81ffac75751,6678a880e2ce2ba0e38b0d17,APPROVED,Not Applicable,2024-07-03T19:56:46.885000Z,2024-07-03T20:20:50.810000Z,2024-07-09T20:13:01.094000Z,2024-07-03T20:24:16.665620Z,1444.0,CLA1QC0Z,65,22,Male,Black,Nigeria,United States,Nigeria,English,DATA_EXPIRED,Full-Time
6685ad4e79f67717418bb814,63fbf0e3b18cc14adc0dbfb6,APPROVED,Not Applicable,2024-07-03T19:58:06.822000Z,2024-07-03T21:21:27.479000Z,2024-07-09T20:13:01.853000Z,2024-07-03T21:21:46.732949Z,5001.0,CLA1QC0Z,1178,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6685ae21b518a3e253677fa4,666ca2fe5a95309bf9764684,APPROVED,Not Applicable,2024-07-03T20:01:37.261000Z,2024-07-03T21:12:52.022000Z,2024-07-09T20:13:28.269000Z,2024-07-03T21:13:46.147580Z,4275.0,CLA1QC0Z,34,31,Female,Black,Nigeria,United Kingdom,Nigeria,English,No,Full-Time
6685af5342fe26c88b4398da,5e4c0ba01ae5a4000b539387,APPROVED,Not Applicable,2024-07-03T20:06:43.182000Z,2024-07-03T20:46:03.563000Z,2024-07-09T20:13:02.472000Z,2024-07-03T20:46:04.448882Z,2361.0,CLA1QC0Z,1687,39,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
6685b2a2866906950f249980,6676960285aeb8e3899cb504,APPROVED,Not Applicable,2024-07-03T20:20:50.918000Z,2024-07-03T21:02:33.492000Z,2024-07-09T20:13:03.163000Z,2024-07-03T21:03:07.569091Z,2503.0,CLA1QC0Z,32,40,Male,Black,Nigeria,United Kingdom,Nigeria,English,No,Full-Time
668685a11d53cb95fc38fccf,664a6dd3d6a1a1eceb3f25cd,APPROVED,Not Applicable,2024-07-04T11:21:23.606000Z,2024-07-04T11:51:18.072000Z,2024-07-09T20:13:29.035000Z,2024-07-04T11:52:34.991539Z,1795.0,CLA1QC0Z,3,42,Female,White,United States,United States,United States,English,No,Part-Time
6686860c3c9f96a9154b023e,5bc8f5d8cfbeca0001960de6,APPROVED,Not Applicable,2024-07-04T11:22:57.767000Z,2024-07-04T11:39:06.129000Z,2024-07-09T20:13:03.785000Z,2024-07-04T11:39:07.688417Z,969.0,CLA1QC0Z,4,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6686866688188749b89f0174,667b3fef6a98e28923e71e2d,APPROVED,Not Applicable,2024-07-04T11:24:29.808000Z,2024-07-04T11:50:45.406000Z,2024-07-09T20:13:29.681000Z,2024-07-04T11:52:32.170938Z,1576.0,CLA1QC0Z,3,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
668686ae03004c59b516ccb4,6009eba65e37d60a66340712,APPROVED,Not Applicable,2024-07-04T11:25:44.098000Z,2024-07-04T11:50:29.764000Z,2024-07-09T20:13:30.347000Z,2024-07-04T11:50:30.564416Z,1486.0,CLA1QC0Z,254,30,Female,White,Ireland,United Kingdom,Ireland,English,DATA_EXPIRED,DATA_EXPIRED
6686874700d40b819981d945,66819efa3e80db17925351df,APPROVED,Not Applicable,2024-07-04T11:28:15.301000Z,2024-07-04T12:19:10.166000Z,2024-07-09T20:13:04.598000Z,2024-07-04T12:19:11.352345Z,3055.0,CLA1QC0Z,2,27,Male,Black,United Kingdom,United Kingdom,Nigeria,English,DATA_EXPIRED,Full-Time
66869bdd4636c4983754a241,665a086659c5d96abbd29687,APPROVED,Not Applicable,2024-07-04T12:56:02.534000Z,2024-07-04T13:30:52.965000Z,2024-07-09T20:13:31.031000Z,2024-07-04T13:30:58.390623Z,2091.0,CLA1QC0Z,5,29,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
66869c320b4fd104eb658d7a,664ef58c64806607e27e86b6,APPROVED,Not Applicable,2024-07-04T13:00:52.951000Z,2024-07-04T13:51:04.196000Z,2024-07-09T20:13:05.340000Z,2024-07-04T13:51:06.549506Z,3012.0,CLA1QC0Z,7,73,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66869e45a1ba6f28ec96fa31,66144bf817ba5f6a3fac2ec5,APPROVED,Not Applicable,2024-07-04T13:06:19.217000Z,2024-07-04T13:48:34.063000Z,2024-07-09T20:13:06.035000Z,2024-07-04T13:48:35.491534Z,2535.0,CLA1QC0Z,13,33,Male,Black,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
