,PdDistrict,DayOfWeek,AvgTemp,NFLGameDay,Month,MonthPeriod,Crimes
14556,5,5,8,0,0,2,0
14097,6,0,19,0,9,0,0
21062,1,5,20,0,7,0,1
11107,6,2,13,0,1,0,0
16151,0,1,11,0,10,1,0
8345,5,5,17,0,7,0,0
7322,2,0,6,0,0,2,0
13719,8,5,18,0,6,1,0
5128,8,5,16,0,10,0,0
8497,7,6,23,0,8,0,1
12626,5,0,9,0,11,2,0
10440,9,5,18,0,8,1,2
7330,0,2,6,0,0,2,1
3508,8,1,11,0,11,0,0
15321,0,5,18,0,5,2,1
13897,6,2,17,0,7,1,0
12244,3,5,16,0,8,1,1
7539,9,0,9,0,1,1,0
10918,7,1,8,0,0,0,1
20210,9,3,14,0,1,0,0
10498,7,1,18,0,9,2,2
12864,3,1,11,0,1,0,1
17487,6,1,14,0,7,2,0
15337,6,6,17,0,5,2,0
10398,7,0,17,0,8,2,2
4450,0,0,17,0,5,2,1
12400,9,6,15,0,9,1,0
9117,6,6,9,0,0,0,0
21825,4,1,11,0,0,0,1
8590,0,2,16,0,8,1,1
15726,5,3,16,0,7,1,0
21713,2,4,15,0,11,2,0
6692,2,0,16,0,8,0,0
6678,8,6,16,0,8,0,0
17550,9,3,17,0,7,1,0
5245,5,3,14,1,10,2,0
1277,7,5,17,0,8,2,2
19423,2,2,23,0,8,0,1
7786,6,5,12,0,3,2,0
4844,4,5,16,0,8,0,1
1670,0,3,11,1,10,1,0
5719,9,0,13,0,1,1,0
13164,3,6,14,0,3,0,1
361,1,5,12,0,2,2,1
12382,1,5,15,0,9,1,0
12575,4,3,15,1,10,1,1
14630,9,5,13,0,0,1,0
22321,0,5,14,0,3,2,0
9286,5,2,12,0,1,0,0
9172,1,5,7,0,0,1,1
5979,9,6,13,0,3,2,1
16595,4,6,15,0,1,1,2
3024,4,5,19,0,7,1,1
14526,5,2,10,0,0,0,0
5216,6,4,16,0,10,2,0
8902,2,5,13,0,10,1,0
19455,4,5,17,0,8,2,1
1157,7,4,20,0,7,1,2
13123,2,2,14,0,2,1,0
15142,1,0,13,0,4,0,1
5337,7,5,10,0,11,2,1
9234,3,1,9,0,1,0,1
460,0,0,11,0,3,0,1
7592,2,4,12,0,2,0,1
9530,9,5,12,0,3,0,1
4387,7,0,15,0,5,0,2
17853,2,6,16,0,9,1,0
11681,0,1,16,0,5,0,1
10480,9,2,18,0,9,0,2
20434,3,5,12,0,3,0,1
16084,3,1,13,0,10,2,1
10933,2,6,9,0,0,0,0
20016,5,5,12,0,0,0,0
4501,1,6,18,0,5,1,0
5478,8,5,12,0,0,0,0
4834,4,1,18,0,8,0,1
9468,7,6,13,0,2,2,2
487,7,3,12,0,3,0,1
12896,5,4,12,0,1,2,0
7576,6,5,12,0,2,0,0
5286,6,4,13,0,11,0,0
15423,2,0,19,0,6,0,0
21771,0,6,13,0,11,1,0
20280,9,3,13,0,1,1,0
18683,2,5,12,0,3,2,1
900,0,3,16,0,5,1,0
2279,9,4,12,0,3,0,1
12978,7,0,14,0,1,1,2
7346,6,3,4,0,0,2,0
3903,3,2,13,0,1,1,1
21926,5,4,11,0,0,1,0
5045,5,1,21,0,9,2,0
14701,0,6,11,0,1,0,0
6281,1,2,17,0,5,2,1
16846,5,3,12,0,3,0,0
11913,2,4,16,0,6,1,0
13603,2,0,17,0,6,0,0
21792,1,0,11,0,11,1,1
11762,1,6,17,0,5,1,0
15832,1,4,18,0,8,1,0
1647,7,4,10,0,10,1,0
13020,9,5,9,0,2,0,1
20643,2,5,24,0,4,2,0
14222,1,4,20,0,10,0,0
4351,1,5,17,0,4,1,0
128,8,2,14,0,0,1,0
2932,2,3,18,0,7,0,0
12419,8,0,17,0,9,1,0
13573,2,5,18,0,5,1,0
7840,0,1,16,0,3,1,0
11822,1,5,17,0,6,0,0
9012,2,2,9,1,11,2,0
2669,9,1,16,0,5,1,0
20441,0,6,12,0,3,0,1
17001,0,5,13,0,4,2,1
13725,4,6,17,0,6,1,1
19746,5,6,16,0,10,2,0
11339,8,1,14,0,2,1,0
7029,9,6,13,0,10,2,0
8373,3,0,18,0,7,0,1
19469,8,6,19,0,8,2,0
9811,0,6,15,0,4,1,1
15469,8,5,16,0,6,2,0
5701,1,4,12,0,1,1,0
9138,7,0,11,0,0,2,1
19593,2,5,19,0,9,2,0
6781,1,3,18,1,8,1,0
11766,5,6,17,0,5,1,0
2626,6,4,15,0,5,0,0
20506,5,5,15,0,3,2,0
20535,4,0,14,0,3,2,1
5687,7,5,9,0,1,1,1
6279,9,0,21,0,5,2,1
11896,5,5,15,0,6,1,0
11177,6,2,13,0,1,1,0
6165,5,1,14,0,4,1,0
5354,4,4,9,0,11,2,1
5814,4,1,9,0,2,2,1
13096,5,6,13,0,2,1,0
13831,0,3,16,0,7,2,0
4894,4,3,17,1,8,2,0
3187,7,4,16,0,8,1,1
22095,4,3,14,0,1,1,1
12071,0,2,17,0,7,1,1
2184,4,5,21,0,2,2,2
11346,5,5,14,0,2,1,0
16472,1,0,13,0,0,1,1
4073,3,5,14,0,3,0,1
5610,0,5,14,0,1,0,0
12287,6,2,14,0,9,0,0
10279,8,3,19,0,7,1,0
4128,8,3,13,0,3,0,0
6983,3,2,17,0,10,0,1
2045,5,5,16,0,1,2,0
10254,3,0,18,0,7,1,1
20682,1,2,17,0,4,2,1
4770,0,5,16,0,7,1,1
16011,0,1,17,0,9,1,1
17036,5,0,14,0,4,2,0
11966,5,5,19,0,7,0,0
8929,9,4,12,0,10,1,0
7722,2,6,15,0,3,0,0
6069,9,0,13,0,4,0,0
20139,8,3,14,0,0,1,0
1274,4,5,17,0,8,2,1
11286,5,6,14,0,2,2,0
14898,7,1,11,0,2,1,1
13438,7,5,16,0,5,0,2
5528,8,3,9,0,0,2,0
12367,6,3,16,0,9,2,0
8443,3,0,19,0,7,1,1
11887,6,1,16,0,6,2,0
15001,0,0,10,0,3,0,0
6340,0,0,16,0,5,1,0
15357,6,0,16,0,5,2,0
10166,5,6,15,0,7,0,0
10853,2,5,8,0,11,1,0
5787,7,0,8,0,2,0,2
2783,3,2,16,0,6,0,1
6143,3,2,17,0,4,2,1
6987,7,2,17,0,10,0,2
20733,2,4,19,0,4,1,1
9902,1,0,17,0,5,2,0
10870,9,6,11,0,11,1,0
19902,1,0,8,0,11,2,0
13529,8,4,16,0,5,2,0
15570,9,0,17,0,6,1,0
11709,8,4,17,0,5,2,0
16076,5,3,12,1,10,0,0
10039,8,4,20,0,6,0,0
9189,8,6,7,0,0,1,0
17399,8,2,16,0,6,1,0
17248,7,0,17,0,5,1,2
17841,0,5,15,0,9,1,1
2736,6,1,18,0,6,0,0
10300,9,5,22,0,8,0,1
14777,6,6,8,0,1,1,0
4230,0,4,16,0,4,0,1
21091,0,0,19,0,7,0,1
12539,8,6,14,0,10,1,0
6549,9,4,18,0,7,0,1
9931,0,1,13,0,5,1,1
10140,9,3,16,0,6,1,1
19996,5,3,13,1,11,1,0
18585,4,2,12,0,2,1,1
12689,8,4,9,0,11,1,0
1579,9,4,13,0,10,2,0
2968,8,6,18,0,7,2,0
17287,6,5,17,0,6,0,0
15590,9,3,18,0,6,1,0
485,5,3,12,0,3,0,0
8364,4,4,18,0,7,0,1
967,7,2,18,0,6,2,1
9693,2,0,12,0,4,0,0
6946,6,5,13,0,9,1,0
12238,7,1,16,0,8,1,2
1365,5,4,14,0,9,0,0
1947,7,2,11,0,0,1,1
10212,1,1,18,0,7,2,0
2225,5,2,17,0,2,2,0
5883,3,1,12,0,3,0,1
22110,9,1,13,0,2,0,0
8889,9,3,14,1,10,2,0
11178,7,2,13,0,1,1,2
6453,3,5,21,0,6,1,1
20986,5,1,22,0,6,1,0
11897,6,5,15,0,6,1,0
13717,6,5,18,0,6,1,0
4545,5,3,17,0,6,0,0
12885,4,6,11,0,1,0,1
3204,4,2,15,0,9,0,1
2549,9,6,18,0,4,1,0
4012,2,6,12,0,2,1,0
3886,6,4,12,0,1,1,0
15002,1,0,10,0,3,0,0
20786,5,5,19,0,5,0,0
14835,4,5,13,0,2,0,0
11768,7,6,17,0,5,1,2
9854,3,3,13,0,5,0,1
8948,8,2,9,0,11,0,1
11825,4,5,17,0,6,0,0
7502,2,5,12,0,1,2,1
14575,4,4,11,0,0,2,1
17920,9,5,13,0,10,2,1
11820,9,1,17,0,6,0,1
9081,0,3,9,1,11,1,0
14353,2,6,8,0,11,0,1
601,1,0,15,0,4,0,0
8943,3,2,9,0,11,0,1
2167,7,3,16,0,2,0,1
10856,5,5,8,0,11,1,0
20044,3,0,12,0,0,0,2
18241,0,3,6,0,0,2,0
13914,3,1,23,0,8,0,1
22355,4,0,16,0,3,2,1
5211,1,4,16,0,10,2,0
2624,4,4,15,0,5,0,1
14676,5,3,11,0,0,1,0
17763,2,1,18,0,9,2,1
741,1,0,14,0,4,1,1
411,1,3,12,0,2,1,0
10657,6,6,16,0,10,2,0
19775,4,2,13,0,10,2,1
19916,5,2,10,0,11,2,0
22316,5,1,14,0,3,2,0
11018,7,4,13,0,0,1,1
9520,9,1,11,0,2,1,0
7402,2,2,11,0,0,1,0
14854,3,4,12,0,2,0,1
2760,0,4,18,0,6,0,1
14194,3,1,17,0,10,0,2
14375,4,0,11,0,11,0,1
17655,4,4,15,0,8,2,1
4193,3,3,15,0,3,1,1
22042,1,5,13,0,1,2,1
16475,4,0,13,0,0,1,1
3105,5,6,21,0,8,2,0
21725,4,0,13,0,11,2,2
4496,6,5,18,0,5,1,0
4307,7,4,17,0,4,2,2
21225,4,4,20,0,8,0,1
7302,2,6,8,0,0,0,1
8700,0,6,15,0,9,2,1
5305,5,2,10,0,11,0,0
10219,8,1,18,0,7,2,0
13887,6,0,17,0,7,1,0
8965,5,1,9,0,11,0,0
4168,8,4,15,0,3,1,1
7717,7,5,13,0,3,0,1
9198,7,4,7,0,0,1,1
17628,7,1,16,0,8,2,2
2078,8,0,11,0,1,2,0
7615,5,2,14,0,2,0,0
3882,2,4,12,0,1,1,1
9989,8,2,17,0,5,1,0
2183,3,5,21,0,2,2,2
13297,6,5,15,0,4,0,0
14700,9,5,13,0,1,0,1
10991,0,5,13,0,0,2,0
2522,2,1,16,0,4,1,0
19184,3,6,17,0,6,1,1
8223,3,4,19,0,6,2,1
18334,3,5,11,0,1,0,2
21654,3,0,13,0,10,1,1
21779,8,6,13,0,11,1,0
10898,7,2,7,0,11,1,1
8306,6,0,17,0,6,1,0
10984,3,1,13,0,0,2,1
6237,7,1,17,0,5,2,1
14329,8,3,10,1,10,1,0
8726,6,0,18,0,9,2,0
21982,1,6,14,0,1,0,1
21378,7,0,27,0,9,0,2
2154,4,2,13,0,2,0,1
10815,4,0,12,0,11,2,1
22006,5,0,16,0,1,0,0
21894,3,1,13,0,0,2,1
14455,4,2,14,0,11,2,1
2298,8,2,14,0,3,0,0
3168,8,5,18,0,8,1,0
16056,5,0,11,0,10,0,0
9731,0,5,17,0,4,2,0
7834,4,3,13,0,3,1,0
18600,9,3,12,0,2,1,0
17388,7,0,18,0,6,1,2
896,6,2,19,0,5,1,0
10941,0,4,9,0,0,0,0
18756,5,5,15,0,3,1,0
17035,4,0,14,0,4,2,1
707,7,1,16,0,4,1,2
14088,7,4,18,0,9,0,2
22397,6,5,14,0,3,1,0
18680,9,1,11,0,3,2,0
19410,9,4,19,0,8,0,0
8803,3,2,18,0,10,0,1
15744,3,5,17,0,8,0,0
205,5,3,8,0,1,0,0
8203,3,5,18,0,6,0,0
12386,5,5,15,0,9,1,0
7121,1,2,10,0,11,0,0
22061,0,4,14,0,1,2,1
1791,1,0,8,0,11,1,0
18107,6,3,11,1,11,2,0
2677,7,5,16,0,5,1,1
3538,8,4,13,0,11,0,0
18578,7,0,12,0,2,1,2
5871,1,3,12,0,2,1,1
16142,1,3,11,1,10,2,1
7431,1,5,11,0,1,0,0
7907,7,3,20,0,4,0,2
1005,5,6,17,0,6,1,0
14800,9,0,8,0,1,1,0
18714,3,0,16,0,3,2,1
11858,7,0,16,0,6,0,1
2771,1,0,18,0,6,0,0
13616,5,2,19,0,6,0,0
16407,6,0,11,0,0,2,0
7125,5,2,10,0,11,0,0
9594,3,5,11,0,3,2,1
8678,8,3,16,1,9,0,0
18012,1,0,16,0,10,1,0
12683,2,4,9,0,11,1,0
4356,6,5,17,0,4,1,0
5508,8,0,13,0,0,2,0
11660,9,0,17,0,4,1,0
13542,1,2,15,0,5,2,1
18448,7,2,11,0,1,1,2
12169,8,1,19,0,8,2,0
22440,9,2,16,0,4,0,0
19707,6,2,14,0,10,0,0
10727,6,6,13,0,10,1,0
8174,4,2,16,0,5,1,1
21280,9,5,22,0,8,2,0
13022,1,6,11,0,2,0,0
2101,1,1,10,0,2,0,0
12125,4,4,21,0,8,0,1
4197,7,3,15,0,3,1,1
8454,4,2,19,0,7,1,1
13873,2,4,17,0,7,1,0
19361,0,3,20,0,7,1,1
4045,5,2,12,0,2,1,0
18438,7,0,10,0,1,1,2
17859,8,6,16,0,9,1,1
9565,4,2,11,0,3,0,1
8852,2,4,15,0,10,2,1
2730,0,1,18,0,6,0,0
6275,5,0,21,0,5,2,0
1664,4,2,11,0,10,1,1
20987,6,1,22,0,6,1,0
7850,0,5,14,0,4,0,1
1476,6,1,22,0,9,1,0
19041,0,6,21,0,5,1,1
22175,4,1,17,0,2,2,1
5621,1,6,16,0,1,0,0
4731,1,0,19,0,7,2,1
4913,3,5,16,0,8,2,1
19831,0,0,12,0,10,1,0
50,0,2,12,0,0,2,0
5948,8,3,13,0,3,0,0
14808,7,2,6,0,1,1,1
10709,8,1,12,0,10,1,0
8673,3,3,16,1,9,0,1
12838,7,0,12,0,0,1,2
1686,6,1,9,0,11,0,0
10529,8,4,21,0,9,2,0
19735,4,5,18,0,10,2,1
4398,8,2,15,0,5,0,0
15973,2,4,15,0,9,2,0
724,4,6,20,0,4,1,1
7733,3,4,14,0,3,0,0
14965,4,1,16,0,3,0,0
4932,2,4,16,0,8,1,1
2805,5,1,21,0,6,2,0
6880,0,6,17,0,9,2,1
9723,2,1,13,0,4,2,0
11791,0,2,21,0,5,1,0
17864,3,4,16,0,10,0,1
1026,6,0,18,0,6,1,0
16751,0,0,11,0,2,1,1
5784,4,0,8,0,2,0,2
15778,7,0,16,0,8,0,2
19810,9,5,13,0,10,1,0
19160,9,3,16,0,6,2,0
17752,1,3,17,1,9,0,1
18236,5,2,7,1,0,2,0
17996,5,6,16,0,10,1,0
19678,7,6,14,0,9,1,2
123,3,2,14,0,0,1,2
1247,7,2,18,0,8,0,2
820,0,2,15,0,5,2,1
580,0,6,12,0,3,1,0
4828,8,3,17,0,7,1,0
12858,7,3,11,0,0,1,1
19323,2,6,18,0,7,1,0
21711,0,4,15,0,11,2,0
13687,6,2,17,0,6,2,0
13789,8,5,18,0,7,0,0
10662,1,4,16,0,10,2,0
14156,5,4,19,0,9,1,0
18090,9,0,9,0,11,2,0
6415,5,0,16,0,6,2,0
8863,3,0,14,0,10,2,1
2948,8,1,18,0,7,2,0
21376,5,0,27,0,9,0,0
16564,3,3,11,0,1,2,1
5900,0,6,11,0,3,0,1
4448,8,4,16,0,5,2,0
8763,3,5,14,0,9,1,1
20145,4,1,11,0,1,0,1
9459,8,5,13,0,2,2,0
6717,7,3,16,1,8,0,2
5059,9,5,18,0,9,2,1
20261,0,2,13,0,1,1,0
1959,9,3,9,0,0,1,1
1223,3,4,19,0,8,0,1
16098,7,5,13,0,10,2,2
9526,5,5,12,0,3,0,0
7315,5,4,7,0,0,2,0
18250,9,3,6,0,0,2,0
12146,5,2,19,0,8,0,0
2541,1,6,18,0,4,1,0
10373,2,6,17,0,8,2,0
8030,0,2,13,0,5,0,0
11131,0,5,11,0,1,2,0
13443,2,6,17,0,5,0,0
930,0,6,17,0,6,0,1
11963,2,5,19,0,7,0,0
17588,7,4,16,0,8,0,2
5182,2,1,17,0,10,2,1
6628,8,0,18,0,7,1,0
5023,3,2,15,0,9,0,1
14121,0,1,16,0,9,2,0
17811,0,2,16,0,9,2,1
18191,0,5,10,0,0,0,0
17196,5,3,18,0,5,2,0
7524,4,4,9,0,1,1,1
9515,4,1,11,0,2,1,1
21996,5,4,15,0,1,0,0
7934,4,6,13,0,4,2,1
17883,2,2,16,0,10,0,0
19844,3,2,12,0,10,1,1
10571,0,5,14,0,9,1,0
12314,3,5,17,0,9,2,1
1464,4,3,18,1,9,2,0
15263,2,6,14,0,5,0,1
12163,2,1,19,0,8,2,0
21285,4,6,22,0,8,2,1
20160,9,5,10,0,1,0,0
16067,6,2,12,0,10,0,0
15731,0,1,15,0,8,0,0
11289,8,6,14,0,2,2,1
8642,2,4,15,0,9,0,1
19512,1,1,19,0,8,1,0
14648,7,4,12,0,0,1,1
22013,2,2,17,0,1,0,0
18447,6,2,11,0,1,1,0
19604,3,6,19,0,9,2,1
17222,1,6,17,0,5,1,1
19937,6,1,11,1,11,1,0
7284,4,1,12,0,0,0,0
4671,1,2,18,0,6,1,0
1837,7,5,9,0,0,0,1
17834,3,1,17,1,9,1,2
9666,5,5,13,0,3,1,0
10352,1,1,16,0,8,2,1
20759,8,2,16,0,4,1,0
49,9,0,14,0,0,0,1
16591,0,6,15,0,1,1,1
10089,8,5,16,0,6,1,0
21413,2,5,21,0,9,2,0
9960,9,6,14,0,5,1,0
22401,0,6,16,0,3,1,1
16074,3,3,12,1,10,0,1
14169,8,0,17,0,9,1,0
11943,2,3,17,0,6,1,0
11313,2,2,11,0,2,1,0
6027,7,1,16,0,4,0,2
14681,0,1,14,0,1,0,1
4680,0,3,17,0,6,1,0
13285,4,1,15,0,4,0,0
11051,0,1,12,0,1,0,1
6335,5,4,18,0,5,1,0
6091,1,1,21,0,4,2,0
14322,1,3,10,1,10,1,0
6557,7,0,17,0,7,2,2
3698,8,2,7,0,0,2,1
21696,5,5,16,0,11,0,0
3451,1,6,11,0,10,1,0
5252,2,1,11,0,10,1,0
20959,8,0,19,0,6,2,0
1557,7,5,14,0,10,2,1
12221,0,3,21,1,8,2,1
18136,5,6,11,0,11,1,0
11424,3,6,9,0,3,2,1
18806,5,3,17,0,4,0,0
7510,0,6,13,0,1,1,0
21350,9,5,21,0,8,1,0
20689,8,2,17,0,4,2,0
16953,2,4,14,0,4,0,0
19258,7,6,18,0,7,0,2
16304,3,5,11,0,11,1,0
15402,1,6,15,0,5,1,0
12801,0,5,10,0,0,1,1
17503,2,6,16,0,7,1,1
11977,6,6,19,0,7,0,0
8765,5,5,14,0,9,1,0
2157,7,2,13,0,2,0,2
17417,6,1,17,0,7,0,0
19987,6,2,11,0,11,1,0
21047,6,3,21,0,6,1,0
17825,4,3,14,0,9,1,0
21076,5,6,21,0,7,0,0
13954,3,0,21,0,8,0,1
17257,6,2,18,0,5,1,0
2814,4,5,18,0,6,2,1
1697,7,5,10,0,11,0,2
20504,3,5,15,0,3,2,1
11805,4,3,21,0,5,1,1
14396,5,3,13,1,11,0,0
8310,0,2,17,0,6,1,0
1066,6,5,21,0,7,0,0
5857,7,0,15,0,2,1,2
6932,2,1,12,0,9,1,1
8137,7,5,16,0,5,1,2
2439,9,2,17,0,4,0,0
11458,7,2,15,0,3,2,2
10755,4,2,14,0,10,1,0
16275,4,2,8,0,11,2,1
11021,0,0,12,0,0,1,0
16259,8,4,9,0,11,2,0
2782,2,2,16,0,6,0,0
17733,2,0,19,0,9,0,0
3934,4,5,16,0,2,0,1
19839,8,0,12,0,10,1,0
2039,9,1,13,0,1,2,0
2360,0,2,13,0,3,2,2
13574,3,5,18,0,5,1,2
16899,8,0,19,0,3,2,0
18262,1,5,9,0,0,1,0
21107,6,2,18,0,7,0,1
9926,5,3,13,0,5,2,0
5015,5,0,15,0,9,0,0
14874,3,2,12,0,2,2,1
9188,7,6,7,0,0,1,1
12114,3,6,24,0,8,0,1
20273,2,3,13,0,1,1,0
12909,8,0,14,0,1,2,0
5371,1,2,9,0,11,2,0
13060,9,2,10,0,2,2,1
8332,2,1,16,0,7,0,0
17279,8,1,15,0,6,0,0
5288,8,4,13,0,11,0,1
9681,0,4,13,0,4,0,1
3287,7,3,17,1,9,2,1
9901,0,0,17,0,5,2,0
11438,7,4,11,0,3,2,1
9052,1,4,8,0,11,1,1
17250,9,0,17,0,5,1,0
22173,2,1,17,0,2,2,1
14171,0,2,17,0,9,1,0
8986,6,6,8,0,11,2,0
83,3,5,11,0,0,1,1
11428,7,6,9,0,3,2,2
15085,4,2,13,0,3,1,1
9790,9,3,14,0,4,2,0
1253,3,3,17,1,8,0,1
17116,5,2,16,0,5,0,0
16874,3,6,14,0,3,2,0
7861,1,6,14,0,4,0,0
8538,8,3,18,0,8,0,0
